Precipitation,Temp_Max,Temp_Min,Wind,Year,Month,Day,Weather
0,24.4,9.4,4.1,2012,5,15,drizzle
0,19.4,9.4,3.5,2012,5,16,sun
0,17.8,6.7,2.9,2012,5,17,rain
0,15.6,7.8,3.1,2012,5,18,rain
0,19.4,7.2,1.5,2012,5,19,sun
6.4,14.4,11.7,1.3,2012,5,20,rain
14,16.7,10,4,2012,5,21,rain
6.1,12.8,8.9,4.8,2012,5,22,rain
0.3,14.4,8.9,6.3,2012,5,23,rain
0,17.2,8.9,3.3,2012,5,24,rain
0,22.2,8.9,3.1,2012,5,25,rain
0,22.2,8.9,3.6,2012,5,26,sun
0,17.2,11.7,3.7,2012,5,27,sun
0,16.7,10,3.4,2012,5,28,rain
0,16.1,7.8,1.8,2012,5,29,sun
0.3,18.9,11.1,1.5,2012,5,30,rain
3.8,17.8,12.2,2.7,2012,5,31,rain
6.6,20,12.8,3.7,2012,6,1,rain
0.3,18.9,10.6,3.7,2012,6,2,rain
0,17.2,9.4,2.9,2012,6,3,sun
1.3,12.8,8.9,3.1,2012,6,4,rain
16,13.3,8.3,3.3,2012,6,5,rain
0,16.1,6.1,3.4,2012,6,6,sun
16.5,16.1,8.9,3.5,2012,6,7,rain
1.5,15,8.3,3,2012,6,8,rain
0,17.2,8.3,4.7,2012,6,9,rain
0,18.9,10,2.9,2012,6,10,sun
0,23.3,10,1.8,2012,6,11,rain
0.8,18.3,12.8,3.9,2012,6,12,rain
0,16.1,11.1,4.3,2012,6,13,sun
0,17.2,10,2.7,2012,6,14,sun
0,22.2,9.4,1.7,2012,6,15,sun
0,21.1,15,4.1,2012,6,16,rain
0,18.9,11.7,6.4,2012,6,17,sun
3,17.2,10,3.8,2012,6,18,rain
1,19.4,10,3,2012,6,19,rain
0,24.4,10,3,2012,6,20,sun
0,23.9,11.7,2.1,2012,6,21,sun
15.7,13.9,11.7,1.9,2012,6,22,rain
8.6,15.6,9.4,2.5,2012,6,23,rain
0,19.4,9.4,2,2012,6,24,drizzle
0.5,19.4,11.1,3.1,2012,6,25,rain
0,18.3,10.6,3.4,2012,6,26,rain
0,22.8,8.9,1.8,2012,6,27,sun
0,22.2,11.7,2.5,2012,6,28,rain
0.3,21.7,15,1.9,2012,6,29,rain
3,20,13.3,2.4,2012,6,30,rain
0,20,12.2,2.3,2012,7,1,rain
2,18.9,11.7,2.1,2012,7,2,rain
5.8,18.3,10.6,6,2012,7,3,rain
0,20.6,9.4,3.8,2012,7,4,sun
0,24.4,10.6,3.1,2012,7,5,drizzle
0,25,11.1,2.1,2012,7,6,sun
0,26.7,12.8,3.8,2012,7,7,sun
0,28.3,14.4,2.8,2012,7,8,rain
1.5,25,12.8,2,2012,7,9,rain
0,23.9,11.1,2.3,2012,7,10,drizzle
0,27.8,13.3,2.9,2012,7,11,fog
0,25.6,13.3,2.7,2012,7,12,drizzle
0.5,23.3,13.9,2.2,2012,7,13,rain
0,25,15,2.2,2012,7,14,rain
0,18.9,13.3,3.8,2012,7,15,rain
0.3,26.1,13.3,2.5,2012,7,16,rain
0,21.7,15,2.6,2012,7,17,sun
0,21.1,14.4,2.9,2012,7,18,sun
0,25,14.4,2.2,2012,7,19,sun
15.2,19.4,13.9,4,2012,7,20,rain
0,23.9,13.9,2.3,2012,7,21,sun
1,20.6,12.2,3.9,2012,7,22,rain
0,18.9,11.1,3.3,2012,7,23,rain
0,23.3,12.2,4.3,2012,7,24,sun
0,26.7,12.8,2.6,2012,7,25,sun
0,25.6,12.8,2.2,2012,7,26,drizzle
0,18.9,13.9,2.8,2012,7,27,drizzle
0,22.2,13.3,1.7,2012,7,28,drizzle
0,22.8,15,2,2012,7,29,sun
0,19.4,13.3,3,2012,7,30,sun
0,22.8,13.9,2.8,2012,7,31,sun
0,23.9,13.3,2.2,2012,8,1,drizzle
0,23.3,12.2,2.5,2012,8,2,sun
0,27.2,12.8,3.9,2012,8,3,sun
0,33.9,16.7,3.7,2012,8,4,sun
0,33.9,17.8,1.9,2012,8,5,sun
0,28.3,15.6,2.5,2012,8,6,rain
0,21.1,15,2.6,2012,8,7,drizzle
0,22.2,15,3.1,2012,8,8,sun
0,24.4,14.4,3.8,2012,8,9,drizzle
0,25.6,12.2,2.3,2012,8,10,sun
0,28.3,13.3,2.5,2012,8,11,sun
0,30.6,15,3,2012,8,12,sun
0,30.6,15,2.8,2012,8,13,sun
0,28.9,13.9,2.8,2012,8,14,sun
0,31.1,16.7,4.7,2012,8,15,sun
0,34.4,18.3,2.8,2012,8,16,sun
0,32.8,16.1,1.8,2012,8,17,sun
0,21.7,14.4,3,2012,8,18,drizzle
0,23.3,15,2.7,2012,8,19,drizzle
0,25.6,15,1.9,2012,8,20,sun
0,23.3,13.3,3,2012,8,21,rain
0,22.2,13.3,2.3,2012,8,22,sun
0,21.1,13.9,3.8,2012,8,23,sun
0,22.2,10,3.3,2012,8,24,sun
0,26.1,11.7,3.2,2012,8,25,sun
0,21.1,12.2,3.4,2012,8,26,sun
0,23.9,13.3,1.8,2012,8,27,sun
0,22.8,12.2,3.2,2012,8,28,sun
0,22.8,13.3,2.4,2012,8,29,sun
0,22.8,12.8,1.9,2012,8,30,sun
0,22.2,10.6,2.9,2012,8,31,sun
0,21.7,10.6,2.1,2012,9,1,sun
0,21.1,10,2,2012,9,2,sun
0,22.8,12.8,3.3,2012,9,3,sun
0,24.4,11.1,3.1,2012,9,4,sun
0,26.1,11.7,2.6,2012,9,5,sun
0,28.3,14.4,4.2,2012,9,6,sun
0,32.2,13.3,3.1,2012,9,7,sun
0,25,13.3,3,2012,9,8,sun
0.3,18.9,13.9,5,2012,9,9,rain
0.3,20,11.7,3.9,2012,9,10,rain
0,20,8.9,4.2,2012,9,11,sun
0,22.2,10,5.6,2012,9,12,sun
0,27.8,11.7,3.6,2012,9,13,sun
0,26.1,11.1,1.5,2012,9,14,sun
0,22.2,11.1,1.9,2012,9,15,sun
0,24.4,9.4,2.3,2012,9,16,sun
0,27.8,11.7,2.2,2012,9,17,fog
0,27.8,11.7,1.4,2012,9,18,sun
0,23.9,11.7,1.9,2012,9,19,drizzle
0,19.4,10,2.5,2012,9,20,drizzle
0,16.1,12.8,2.1,2012,9,21,drizzle
0.3,19.4,11.7,1.1,2012,9,22,rain
0,19.4,10,1.4,2012,9,23,fog
0,21.1,10,1.8,2012,9,24,fog
0,19.4,11.1,1.7,2012,9,25,sun
0,19.4,9.4,1.7,2012,9,26,drizzle
0,22.8,10,1.7,2012,9,27,drizzle
0,25,12.2,1.1,2012,9,28,rain
0,20.6,12.2,4.3,2012,9,29,sun
0,21.1,7.8,3.1,2012,9,30,sun
0,23.3,8.9,3,2012,10,1,sun
0,17.8,10,4.1,2012,10,2,sun
0,18.9,7.8,7.3,2012,10,3,sun
0,18.9,8.3,6.5,2012,10,4,sun
0,21.7,8.9,5.7,2012,10,5,sun
0,23.9,7.8,5.1,2012,10,6,sun
0,23.9,7.8,1.3,2012,10,7,sun
0,21.1,7.8,1.9,2012,10,8,sun
0,16.1,8.9,1.6,2012,10,9,drizzle
0,12.2,8.3,1.4,2012,10,10,drizzle
0,13.9,7.2,1.3,2012,10,11,drizzle
2,13.9,8.9,4.6,2012,10,12,rain
4.8,15.6,12.2,3.9,2012,10,13,rain
16.5,17.8,13.3,3.4,2012,10,14,rain
7.9,17.2,11.1,4.6,2012,10,15,rain
0,16.1,8.3,5.5,2012,10,16,sun
0,14.4,6.1,1.6,2012,10,17,sun
20.8,17.8,6.7,2,2012,10,18,rain
4.8,15,9.4,5.3,2012,10,19,rain
0.5,11.1,6.1,5.7,2012,10,20,rain
6.4,11.7,4.4,2.7,2012,10,21,rain
8.9,7.8,3.3,2.6,2012,10,22,rain
0,11.1,5.6,3,2012,10,23,rain
7.1,11.7,6.1,2.1,2012,10,24,rain
0,11.7,6.7,1.5,2012,10,25,sun
1.5,11.1,7.2,2.5,2012,10,26,rain
23.1,14.4,9.4,5.1,2012,10,27,rain
6.1,14.4,10,3.8,2012,10,28,rain
10.9,15.6,10,4.9,2012,10,29,rain
34.5,15,12.2,2.8,2012,10,30,rain
14.5,15.6,11.1,2.7,2012,10,31,rain
9.7,15,10.6,3,2012,11,1,rain
5.6,15,10.6,1,2012,11,2,rain
0.5,15.6,11.1,3.6,2012,11,3,rain
8.1,17.8,12.8,3.8,2012,11,4,rain
0.8,15,7.8,4,2012,11,5,rain
0.3,12.8,6.7,3.5,2012,11,6,rain
0,12.2,3.9,3.4,2012,11,7,rain
0,10,1.1,3.4,2012,11,8,rain
0,8.9,1.1,2,2012,11,9,rain
0,7.8,-0.6,2.2,2012,11,10,sun
15.2,8.9,1.1,3,2012,11,11,rain
3.6,12.8,6.1,3,2012,11,12,rain
5.3,11.1,7.8,2.5,2012,11,13,rain
0.8,11.1,5,2.6,2012,11,14,rain
0,9.4,2.8,2.4,2012,11,15,drizzle
5.6,9.4,2.2,1.6,2012,11,16,rain
6.1,12.2,6.1,5.3,2012,11,17,rain
7.9,10,6.1,4.9,2012,11,18,rain
54.1,13.3,8.3,6,2012,11,19,rain
3.8,11.1,7.2,4.2,2012,11,20,rain
11.2,8.3,3.9,5.5,2012,11,21,rain
0,8.9,2.8,1.5,2012,11,22,rain
32,9.4,6.1,2.4,2012,11,23,rain
0,8.9,3.9,1.2,2012,11,24,rain
0,8.3,1.1,3.6,2012,11,25,drizzle
0,9.4,1.7,3.8,2012,11,26,fog
0,10,1.7,1.5,2012,11,27,sun
2.8,9.4,2.2,2.9,2012,11,28,rain
1.5,12.8,7.8,4.2,2012,11,29,rain
35.6,15,7.8,4.6,2012,11,30,rain
4.1,13.3,8.3,5.5,2012,12,1,rain
19.6,8.3,7.2,6.2,2012,12,2,rain
13,9.4,7.2,4.4,2012,12,3,rain
14.2,11.7,7.2,6.2,2012,12,4,rain
1.5,8.9,4.4,5,2012,12,5,rain
1.5,7.2,6.1,5.1,2012,12,6,rain
1,7.8,3.3,4.6,2012,12,7,rain
0,6.7,3.3,2,2012,12,8,sun
1.5,6.7,2.8,2.1,2012,12,9,rain
0.5,7.2,5.6,1.8,2012,12,10,rain
3,7.8,5.6,4.5,2012,12,11,rain
8.1,6.7,4.4,2,2012,12,12,rain
2.3,7.2,3.3,2.8,2012,12,13,rain
7.9,6.1,1.1,1.7,2012,12,14,rain
5.3,4.4,0.6,5.1,2012,12,15,snow
22.6,6.7,3.3,5.5,2012,12,16,snow
2,8.3,1.7,9.5,2012,12,17,rain
3.3,3.9,0.6,5.3,2012,12,18,snow
13.7,8.3,1.7,5.8,2012,12,19,snow
13.2,7.2,0.6,3.7,2012,12,20,rain
1.8,8.3,-1.7,1.7,2012,12,21,rain
3.3,8.3,3.9,3.5,2012,12,22,rain
6.6,7.2,3.3,2.5,2012,12,23,rain
0.3,5.6,2.8,2.8,2012,12,24,rain
13.5,5.6,2.8,4.2,2012,12,25,snow
4.6,6.7,3.3,4.9,2012,12,26,rain
4.1,7.8,3.3,3.2,2012,12,27,rain
0,8.3,3.9,1.7,2012,12,28,rain
1.5,5,3.3,1.7,2012,12,29,rain
0,4.4,0,1.8,2012,12,30,drizzle
0,3.3,-1.1,2,2012,12,31,drizzle
0,5,-2.8,2.7,2013,1,1,sun
0,6.1,-1.1,3.2,2013,1,2,sun
4.1,6.7,-1.7,3,2013,1,3,rain
2.5,10,2.2,2.8,2013,1,4,rain
3,6.7,4.4,3.1,2013,1,5,rain
2,7.2,2.8,3,2013,1,6,rain
2.3,10,4.4,7.3,2013,1,7,rain
16.3,11.7,5.6,6.3,2013,1,8,rain
38.4,10,1.7,5.1,2013,1,9,rain
0.3,3.3,-0.6,2.1,2013,1,10,snow
0,2.8,-2.8,1.9,2013,1,11,drizzle
0,2.8,-3.9,2,2013,1,12,sun
0,2.2,-4.4,1.5,2013,1,13,sun
0,3.3,-2.2,1.3,2013,1,14,sun
0,6.7,-0.6,2.3,2013,1,15,sun
0,6.1,-3.9,1.8,2013,1,16,drizzle
0,3.9,-2.8,1,2013,1,17,drizzle
0,3.3,-1.1,1.3,2013,1,18,drizzle
0,1.1,-0.6,1.9,2013,1,19,drizzle
0,3.3,-0.6,2.1,2013,1,20,drizzle
0,2.2,-1.7,1.1,2013,1,21,drizzle
0,3.3,-1.7,0.6,2013,1,22,drizzle
5.1,7.2,2.2,3.1,2013,1,23,rain
5.8,7.2,1.1,2.6,2013,1,24,rain
3,10.6,2.8,2.1,2013,1,25,rain
2.3,8.3,3.9,4.5,2013,1,26,rain
1.8,5.6,3.9,4.5,2013,1,27,rain
7.9,6.1,3.3,3.2,2013,1,28,rain
4.3,8.3,5,3.9,2013,1,29,rain
3.6,8.9,6.7,3.9,2013,1,30,rain
3,9.4,7.2,4,2013,1,31,rain
0.3,11.7,5,2.9,2013,2,1,rain
0,6.1,2.8,2,2013,2,2,drizzle
2.3,8.9,2.8,2.9,2013,2,3,rain
0,10.6,6.7,2.6,2013,2,4,rain
3.3,10,6.7,5.1,2013,2,5,rain
1,10.6,6.1,4.5,2013,2,6,rain
1.3,9.4,3.3,4.1,2013,2,7,rain
0,7.8,2.2,1.3,2013,2,8,sun
0.3,8.3,4.4,1.3,2013,2,9,rain
0,8.9,1.7,2,2013,2,10,drizzle
0.3,8.3,4.4,1.4,2013,2,11,rain
1,11.1,7.2,5.6,2013,2,12,rain
2.3,9.4,7.2,4.1,2013,2,13,rain
1,9.4,5.6,2.2,2013,2,14,rain
0,13.3,5,2.4,2013,2,15,drizzle
0,11.1,3.9,5.6,2013,2,16,rain
0,9.4,4.4,3.4,2013,2,17,rain
0,7.8,3.9,1.9,2013,2,18,rain
0,10.6,1.7,3.4,2013,2,19,sun
1.5,7.8,1.1,2.1,2013,2,20,rain
0.5,6.7,3.9,6.2,2013,2,21,rain
9.4,7.8,3.9,8.1,2013,2,22,rain
0.3,10,3.9,4.6,2013,2,23,rain
0,8.9,5,5.5,2013,2,24,rain
2.3,10.6,3.3,7.1,2013,2,25,rain
0.5,8.9,3.9,3.8,2013,2,26,rain
4.6,10,4.4,1.8,2013,2,27,rain
8.1,11.7,6.7,3.8,2013,2,28,rain
4.1,15,11.1,5.4,2013,3,1,rain
0.8,13.9,5,4.5,2013,3,2,rain
0,11.1,2.2,2.8,2013,3,3,sun
0,13.3,0,3.9,2013,3,4,sun
0,9.4,6.1,2.4,2013,3,5,rain
11.9,7.2,5,4.1,2013,3,6,rain
7.4,12.2,5,2.5,2013,3,7,rain
0,11.7,2.2,2.6,2013,3,8,drizzle
0,12.8,1.1,1.3,2013,3,9,fog
0.8,7.8,3.9,1.6,2013,3,10,rain
1.3,10.6,6.1,1.1,2013,3,11,rain
2,12.8,10,5.7,2013,3,12,rain
2.3,11.7,9.4,3.7,2013,3,13,rain
2.8,11.7,9.4,3,2013,3,14,rain
0,14.4,8.9,4.3,2013,3,15,rain
4.3,10.6,4.4,6.4,2013,3,16,rain
0,8.9,3.9,6.1,2013,3,17,sun
0,11.7,3.9,5.9,2013,3,18,rain
11.7,12.8,1.7,3.4,2013,3,19,rain
9.9,11.1,4.4,7.6,2013,3,20,rain
8.1,10,2.2,4.9,2013,3,21,snow
0,9.4,0.6,2.2,2013,3,22,sun
0,10,1.1,2.6,2013,3,23,sun
0,12.2,0.6,2.1,2013,3,24,sun
0,16.7,4.4,2.8,2013,3,25,sun
0,16.7,6.1,1.7,2013,3,26,sun
0.3,13.3,7.2,1.6,2013,3,27,rain
2,16.1,8.3,1.3,2013,3,28,rain
0,18.3,7.8,2.5,2013,3,29,rain
0,20,5.6,4.4,2013,3,30,drizzle
0,20.6,6.7,2.9,2013,3,31,sun
0,17.2,8.3,3.6,2013,4,1,sun
0,13.9,8.9,2.2,2013,4,2,sun
0,16.7,7.8,1.6,2013,4,3,sun
8.4,14.4,10,3,2013,4,4,rain
18.5,13.9,10,5.6,2013,4,5,rain
12.7,12.2,7.2,5,2013,4,6,rain
39.1,8.3,5,3.9,2013,4,7,rain
0.8,13.3,6.1,3.1,2013,4,8,rain
0,12.2,6.1,2.4,2013,4,9,sun
9.4,15,8.9,6.4,2013,4,10,rain
1.5,12.2,6.7,3.8,2013,4,11,rain
9.7,7.8,4.4,4.6,2013,4,12,rain
9.4,10.6,3.3,5.7,2013,4,13,rain
5.8,12.8,4.4,2.3,2013,4,14,rain
0,13.9,4.4,2.4,2013,4,15,fog
0.3,13.9,3.3,2.6,2013,4,16,rain
0,15,3.9,3.3,2013,4,17,drizzle
5.3,11.7,6.7,4,2013,4,18,rain
20.6,13.3,9.4,4.9,2013,4,19,rain
0,13.9,8.3,5.8,2013,4,20,sun
3.3,12.2,6.7,4.1,2013,4,21,rain
0,16.1,5,4.3,2013,4,22,sun
0,17.8,3.9,2.8,2013,4,23,sun
0,21.1,6.1,3,2013,4,24,sun
0,21.7,6.7,1.1,2013,4,25,sun
0,20.6,8.3,2.2,2013,4,26,fog
0,13.9,10.6,5.9,2013,4,27,sun
1,15,9.4,5.2,2013,4,28,rain
3.8,13.9,6.7,4.2,2013,4,29,rain
0,12.8,4.4,2.4,2013,4,30,sun
0,18.3,3.3,3.1,2013,5,1,sun
0,20.6,6.7,4,2013,5,2,sun
0,21.7,9.4,4.9,2013,5,3,sun
0,25,11.1,6.5,2013,5,4,sun
0,28.9,11.7,5.3,2013,5,5,sun
0,30.6,12.2,2,2013,5,6,sun
0,20.6,11.1,3.3,2013,5,7,sun
0,19.4,11.1,1.9,2013,5,8,sun
0,22.8,10,1.3,2013,5,9,sun
0,26.1,9.4,1,2013,5,10,sun
0,27.2,12.2,2.6,2013,5,11,sun
6.6,21.7,13.9,3.9,2013,5,12,rain
3.3,18.9,9.4,5,2013,5,13,rain
0,18.3,7.8,2.4,2013,5,14,sun
1,17.2,8.9,2.3,2013,5,15,rain
0,21.7,12.2,2.7,2013,5,16,fog
0.5,17.2,11.7,3.7,2013,5,17,rain
0,16.7,11.1,2.9,2013,5,18,sun
0,18.3,10.6,2.3,2013,5,19,sun
0,19.4,9.4,1.8,2013,5,20,sun
13.7,15.6,8.3,4.8,2013,5,21,rain
13.7,11.1,7.2,3,2013,5,22,rain
4.1,12.2,6.7,1.9,2013,5,23,rain
0.3,16.7,8.9,2.7,2013,5,24,rain
0,17.8,10,2.7,2013,5,25,sun
1.5,18.3,10.6,2.2,2013,5,26,rain
9.7,16.7,11.1,3.1,2013,5,27,rain
0.5,17.2,11.7,2.8,2013,5,28,rain
5.6,16.1,9.4,4,2013,5,29,rain
0,16.7,9.4,5.3,2013,5,30,sun
0,19.4,11.1,2.5,2013,5,31,sun
0,22.8,12.2,2.5,2013,6,1,sun
1,20.6,12.2,3.1,2013,6,2,rain
0,22.2,11.1,2.9,2013,6,3,sun
0,26.1,12.2,3.4,2013,6,4,sun
0,26.7,14.4,3.1,2013,6,5,sun
0,26.7,12.2,2.5,2013,6,6,sun
0,21.7,13.3,3.2,2013,6,7,sun
0,20.6,12.8,3.1,2013,6,8,sun
0,20.6,11.1,3.7,2013,6,9,sun
0,21.7,11.7,3.2,2013,6,10,sun
0,20,10,5.7,2013,6,11,sun
0.3,20.6,11.7,4.2,2013,6,12,rain
0,21.1,11.7,2.6,2013,6,13,sun
0,20,12.2,3.7,2013,6,14,sun
0,25.6,10,2.9,2013,6,15,sun
0,23.9,12.8,3.4,2013,6,16,sun
0,25.6,13.9,3,2013,6,17,sun
0.3,23.3,13.3,3.4,2013,6,18,rain
0,20,12.8,3.7,2013,6,19,sun
3,17.2,12.8,5,2013,6,20,rain
0.3,20.6,12.2,1.5,2013,6,21,rain
0,25.6,11.7,1.7,2013,6,22,sun
7.9,22.2,15,2.1,2013,6,23,rain
4.8,21.1,13.9,3.7,2013,6,24,rain
9.9,23.3,14.4,2.8,2013,6,25,rain
2,22.2,15,2.3,2013,6,26,rain
3.6,21.1,16.7,1.3,2013,6,27,rain
0,30.6,16.1,2.2,2013,6,28,sun
0,30,18.3,1.7,2013,6,29,sun
0,33.9,17.2,2.5,2013,6,30,sun
0,31.7,18.3,2.3,2013,7,1,sun
0,28.3,15.6,3,2013,7,2,sun
0,26.1,16.7,3.2,2013,7,3,sun
0,21.7,13.9,2.2,2013,7,4,fog
0,23.3,13.9,2.6,2013,7,5,sun
0,26.1,13.3,2.2,2013,7,6,sun
0,23.9,13.9,2.9,2013,7,7,sun
0,26.7,13.3,2.8,2013,7,8,sun
0,30,15,2.5,2013,7,9,sun
0,22.2,13.9,2.6,2013,7,10,sun
0,22.8,12.2,3,2013,7,11,sun
0,19.4,13.3,2.2,2013,7,12,sun
0,26.1,11.1,3.1,2013,7,13,sun
0,27.8,12.8,3,2013,7,14,sun
0,27.8,14.4,4.6,2013,7,15,sun
0,31.1,18.3,4.1,2013,7,16,sun
0,22.2,15,3.7,2013,7,17,sun
0,26.1,13.9,2,2013,7,18,sun
0,27.8,13.3,1.9,2013,7,19,sun
0,25,13.3,2,2013,7,20,sun
0,23.9,12.8,2.3,2013,7,21,sun
0,26.1,13.3,2.4,2013,7,22,fog
0,31.1,13.9,3,2013,7,23,sun
0,31.1,14.4,2.5,2013,7,24,sun
0,31.1,12.8,2.3,2013,7,25,sun
